imenica	frekvencija	potvrđen_genitiv	padež	predlog	napomena
sektaštvo	24	sektaštva	I jd	sektaštvom	
sladostrašće	24	sladostrašća	D/L jd	sladostrašću	
sladostrašće	24	sladostrašća	I jd	sladostrašćem	
zametanje	24	zametanja	D/L jd	zametanju	
zametanje	24	zametanja	I jd	zametanjem	
ždranje	24	ždranja	D/L jd	ždranju	
ždranje	24	ždranja	I jd	ždranjem	
dečaštvo	23	dečaštva	I jd	dečaštvom	
isleđivanje	23	isleđivanja	I jd	isleđivanjem	
opominjanje	23	opominjanja	D/L jd	opominjanju	
podvajanje	23	podvajanja	I jd	podvajanjem	
prežderavanje	23	prežderavanja	D/L jd	prežderavanju	
prežderavanje	23	prežderavanja	I jd	prežderavanjem	
soliranje	23	soliranja	D/L jd	soliranju	
urezivanje	23	urezivanja	D/L jd	urezivanju	
zamiranje	23	zamiranja	D/L jd	zamiranju	
zamiranje	23	zamiranja	I jd	zamiranjem	
švrljanje	23	švrljanja	D/L jd	švrljanju	
švrljanje	23	švrljanja	I jd	švrljanjem	
doigravanje	22	doigravanja	I jd	doigravanjem	
dočaravanje	22	dočaravanja	I jd	dočaravanjem	
leganje	22	leganja	I jd	leganjem	
nokturno	22	nokturna	I jd	nokturnom	
očvršćavanje	22	očvršćavanja	D/L jd	očvršćavanju	
očvršćavanje	22	očvršćavanja	I jd	očvršćavanjem	
parodiranje	22	parodiranja	D/L jd	parodiranju	
parodiranje	22	parodiranja	I jd	parodiranjem	
plagiranje	22	plagiranja	D/L jd	plagiranju	
plagiranje	22	plagiranja	I jd	plagiranjem	
pljeskanje	22	pljeskanja	D/L jd	pljeskanju	
probuđenje	22	probuđenja	D/L jd	probuđenju	
probuđenje	22	probuđenja	I jd	probuđenjem	
proklinjanje	22	proklinjanja	D/L jd	proklinjanju	
proklinjanje	22	proklinjanja	I jd	proklinjanjem	
ubadanje	22	ubadanja	D/L jd	ubadanju	
uspravljanje	22	uspravljanja	D/L jd	uspravljanju	
uspravljanje	22	uspravljanja	I jd	uspravljanjem	
glumište	21	glumišta	I jd	glumištem	
guljenje	21	guljenja	D/L jd	guljenju	
guljenje	21	guljenja	I jd	guljenjem	
kastriranje	21	kastriranja	D/L jd	kastriranju	
kastriranje	21	kastriranja	I jd	kastriranjem	
konjarstvo	21	konjarstva	I jd	konjarstvom	
mračnjaštvo	21	mračnjaštva	D/L jd	mračnjaštvu	
mračnjaštvo	21	mračnjaštva	I jd	mračnjaštvom	
navaljivanje	21	navaljivanja	I jd	navaljivanjem	
neprimanje	21	neprimanja	D/L jd	neprimanju	
neprimanje	21	neprimanja	I jd	neprimanjem	
očijukanje	21	očijukanja	D/L jd	očijukanju	
očijukanje	21	očijukanja	I jd	očijukanjem	
puce	21	puceta	D/L jd	pucetu	proširena osnova
puce	21	puceta	I jd	pucetom	proširena osnova
samoodržanje	21	samoodržanja	D/L jd	samoodržanju	
sazvučje	21	sazvučja	I jd	sazvučjem	
bezbožje	20	bezbožja	D/L jd	bezbožju	
loptanje	20	loptanja	D/L jd	loptanju	
mreškanje	20	mreškanja	D/L jd	mreškanju	
mreškanje	20	mreškanja	I jd	mreškanjem	
nasrtanje	20	nasrtanja	D/L jd	nasrtanju	
neodobravanje	20	neodobravanja	D/L jd	neodobravanju	
premiranje	20	premiranja	I jd	premiranjem	
prostaštvo	20	prostaštva	D/L jd	prostaštvu	
prostaštvo	20	prostaštva	I jd	prostaštvom	
prvenče	20	prvenčeta	D/L jd	prvenčetu	proširena osnova
prvenče	20	prvenčeta	I jd	prvenčetom	proširena osnova
razbojište	20	razbojišta	I jd	razbojištem	
rimovanje	20	rimovanja	D/L jd	rimovanju	
rimovanje	20	rimovanja	I jd	rimovanjem	
sleđenje	20	sleđenja	D/L jd	sleđenju	
sleđenje	20	sleđenja	I jd	sleđenjem	
sramoćenje	20	sramoćenja	I jd	sramoćenjem	
tračanje	20	tračanja	D/L jd	tračanju	
tračanje	20	tračanja	I jd	tračanjem	
zabušavanje	20	zabušavanja	D/L jd	zabušavanju	
zabušavanje	20	zabušavanja	I jd	zabušavanjem	
zlatarstvo	20	zlatarstva	I jd	zlatarstvom	
žmirkanje	20	žmirkanja	D/L jd	žmirkanju	
žmirkanje	20	žmirkanja	I jd	žmirkanjem	
blještavilo	19	blještavila	D/L jd	blještavilu	
blještavilo	19	blještavila	I jd	blještavilom	
cupkanje	19	cupkanja	D/L jd	cupkanju	
cupkanje	19	cupkanja	I jd	cupkanjem	
dopadanje	19	dopadanja	D/L jd	dopadanju	
kladivo	19	kladiva	D/L jd	kladivu	
kladivo	19	kladiva	I jd	kladivom	
nagrizanje	19	nagrizanja	D/L jd	nagrizanju	
nepružanje	19	nepružanja	I jd	nepružanjem	
neuzimanje	19	neuzimanja	I jd	neuzimanjem	
pljuskanje	19	pljuskanja	D/L jd	pljuskanju	
pobeđivanje	19	pobeđivanja	I jd	pobeđivanjem	
preklinjanje	19	preklinjanja	D/L jd	preklinjanju	
preklinjanje	19	preklinjanja	I jd	preklinjanjem	
sleme	19	slemena	D/L jd	slemenu	proširena osnova
sleme	19	slemena	I jd	slemenom	proširena osnova
smicanje	19	smicanja	D/L jd	smicanju	
smicanje	19	smicanja	I jd	smicanjem	
tonjenje	19	tonjenja	D/L jd	tonjenju	
unajmljivanje	19	unajmljivanja	I jd	unajmljivanjem	
upinjanje	19	upinjanja	D/L jd	upinjanju	
upinjanje	19	upinjanja	I jd	upinjanjem	
voljenje	19	voljenja	D/L jd	voljenju	
voljenje	19	voljenja	I jd	voljenjem	
zverstvo	19	zverstva	D/L jd	zverstvu	
zverstvo	19	zverstva	I jd	zverstvom	
cerekanje	18	cerekanja	D/L jd	cerekanju	
jadanje	18	jadanja	D/L jd	jadanju	
jadanje	18	jadanja	I jd	jadanjem	
konfiskovanje	18	konfiskovanja	D/L jd	konfiskovanju	
konfiskovanje	18	konfiskovanja	I jd	konfiskovanjem	
kreketanje	18	kreketanja	D/L jd	kreketanju	
kreketanje	18	kreketanja	I jd	kreketanjem	
njihalo	18	njihala	D/L jd	njihalu	
njihalo	18	njihala	I jd	njihalom	
nominovanje	18	nominovanja	D/L jd	nominovanju	
nominovanje	18	nominovanja	I jd	nominovanjem	
pečaćenje	18	pečaćenja	D/L jd	pečaćenju	
pečaćenje	18	pečaćenja	I jd	pečaćenjem	
ruiniranje	18	ruiniranja	D/L jd	ruiniranju	
ruiniranje	18	ruiniranja	I jd	ruiniranjem	
sviđanje	18	sviđanja	I jd	sviđanjem	
teturanje	18	teturanja	D/L jd	teturanju	
teturanje	18	teturanja	I jd	teturanjem	
većanje	18	većanja	I jd	većanjem	
zaceljivanje	18	zaceljivanja	I jd	zaceljivanjem	
isparenje	17	isparenja	D/L jd	isparenju	
krivokletstvo	17	krivokletstva	D/L jd	krivokletstvu	
krivokletstvo	17	krivokletstva	I jd	krivokletstvom	
meditiranje	17	meditiranja	D/L jd	meditiranju	
meditiranje	17	meditiranja	I jd	meditiranjem	
nadilaženje	17	nadilaženja	D/L jd	nadilaženju	
nadilaženje	17	nadilaženja	I jd	nadilaženjem	
naređivanje	17	naređivanja	I jd	naređivanjem	
obzorje	17	obzorja	I jd	obzorjem	
odsluženje	17	odsluženja	I jd	odsluženjem	
osvojenje	17	osvojenja	D/L jd	osvojenju	
osvojenje	17	osvojenja	I jd	osvojenjem	
rastajanje	17	rastajanja	D/L jd	rastajanju	
rastajanje	17	rastajanja	I jd	rastajanjem	
seljakanje	17	seljakanja	I jd	seljakanjem	
sprezanje	17	sprezanja	D/L jd	sprezanju	
sprezanje	17	sprezanja	I jd	sprezanjem	
srdašce	17	srdašca	I jd	srdašcem	
tipkanje	17	tipkanja	D/L jd	tipkanju	
tipkanje	17	tipkanja	I jd	tipkanjem	
uobličenje	17	uobličenja	D/L jd	uobličenju	
uobličenje	17	uobličenja	I jd	uobličenjem	
čaranje	17	čaranja	D/L jd	čaranju	
čaranje	17	čaranja	I jd	čaranjem	
žuborenje	17	žuborenja	D/L jd	žuborenju	
bludničenje	16	bludničenja	D/L jd	bludničenju	
bludničenje	16	bludničenja	I jd	bludničenjem	
dopiranje	16	dopiranja	D/L jd	dopiranju	
dopiranje	16	dopiranja	I jd	dopiranjem	
durenje	16	durenja	D/L jd	durenju	
durenje	16	durenja	I jd	durenjem	
jare	16	jareta	D/L jd	jaretu	proširena osnova
jotovanje	16	jotovanja	I jd	jotovanjem	
klesanje	16	klesanja	D/L jd	klesanju	
klesanje	16	klesanja	I jd	klesanjem	
neulaganje	16	neulaganja	D/L jd	neulaganju	
neulaganje	16	neulaganja	I jd	neulaganjem	
ocilo	16	ocila	D/L jd	ocilu	
ocilo	16	ocila	I jd	ocilom	
sustizanje	16	sustizanja	I jd	sustizanjem	
tiskanje	16	tiskanja	D/L jd	tiskanju	
tiskanje	16	tiskanja	I jd	tiskanjem	
treskanje	16	treskanja	D/L jd	treskanju	
treskanje	16	treskanja	I jd	treskanjem	
vijuganje	16	vijuganja	D/L jd	vijuganju	
vijuganje	16	vijuganja	I jd	vijuganjem	
vrpoljenje	16	vrpoljenja	D/L jd	vrpoljenju	
zastajkivanje	16	zastajkivanja	D/L jd	zastajkivanju	
zastajkivanje	16	zastajkivanja	I jd	zastajkivanjem	
buljenje	15	buljenja	I jd	buljenjem	
carevanje	15	carevanja	I jd	carevanjem	
dosađivanje	15	dosađivanja	I jd	dosađivanjem	
iscrpljenje	15	iscrpljenja	I jd	iscrpljenjem	
izmotavanje	15	izmotavanja	D/L jd	izmotavanju	
kiseljenje	15	kiseljenja	D/L jd	kiseljenju	
kiseljenje	15	kiseljenja	I jd	kiseljenjem	
kreveljenje	15	kreveljenja	I jd	kreveljenjem	
micanje	15	micanja	I jd	micanjem	
mrdanje	15	mrdanja	D/L jd	mrdanju	
mrdanje	15	mrdanja	I jd	mrdanjem	
opsedanje	15	opsedanja	D/L jd	opsedanju	
opsedanje	15	opsedanja	I jd	opsedanjem	
opustošenje	15	opustošenja	I jd	opustošenjem	
pijuckanje	15	pijuckanja	D/L jd	pijuckanju	
pijuckanje	15	pijuckanja	I jd	pijuckanjem	
pleće	15	pleća	D/L jd	pleću	
pleće	15	pleća	I jd	plećem	
prikradanje	15	prikradanja	D/L jd	prikradanju	
snovanje	15	snovanja	I jd	snovanjem	
tresenje	15	tresenja	D/L jd	tresenju	
trubljenje	15	trubljenja	D/L jd	trubljenju	
umorstvo	15	umorstva	I jd	umorstvom	
utamničenje	15	utamničenja	D/L jd	utamničenju	
utamničenje	15	utamničenja	I jd	utamničenjem	
vrćenje	15	vrćenja	D/L jd	vrćenju	
vrćenje	15	vrćenja	I jd	vrćenjem	
zbrajanje	15	zbrajanja	D/L jd	zbrajanju	
zurenje	15	zurenja	I jd	zurenjem	
štipkanje	15	štipkanja	D/L jd	štipkanju	
štipkanje	15	štipkanja	I jd	štipkanjem	
boravljenje	14	boravljenja	D/L jd	boravljenju	
boravljenje	14	boravljenja	I jd	boravljenjem	
dleto	14	dleta	D/L jd	dletu	
glačanje	14	glačanja	D/L jd	glačanju	
ilirstvo	14	ilirstva	I jd	ilirstvom	
ludiranje	14	ludiranja	D/L jd	ludiranju	
ludiranje	14	ludiranja	I jd	ludiranjem	
nećkanje	14	nećkanja	D/L jd	nećkanju	
nećkanje	14	nećkanja	I jd	nećkanjem	
osmehivanje	14	osmehivanja	D/L jd	osmehivanju	
osmehivanje	14	osmehivanja	I jd	osmehivanjem	
očajavanje	14	očajavanja	D/L jd	očajavanju	
očajavanje	14	očajavanja	I jd	očajavanjem	
podanstvo	14	podanstva	I jd	podanstvom	
tegljenje	14	tegljenja	D/L jd	tegljenju	
tegljenje	14	tegljenja	I jd	tegljenjem	
ugibanje	14	ugibanja	D/L jd	ugibanju	
ugibanje	14	ugibanja	I jd	ugibanjem	
velebilje	14	velebilja	D/L jd	velebilju	
velebilje	14	velebilja	I jd	velebiljem	
zapadanje	14	zapadanja	I jd	zapadanjem	
zlopamćenje	14	zlopamćenja	I jd	zlopamćenjem	
evoluiranje	13	evoluiranja	D/L jd	evoluiranju	
evoluiranje	13	evoluiranja	I jd	evoluiranjem	
farmerstvo	13	farmerstva	D/L jd	farmerstvu	
farmerstvo	13	farmerstva	I jd	farmerstvom	
klecanje	13	klecanja	D/L jd	klecanju	
klecanje	13	klecanja	I jd	klecanjem	
kremiranje	13	kremiranja	D/L jd	kremiranju	
kremiranje	13	kremiranja	I jd	kremiranjem	
majmunisanje	13	majmunisanja	D/L jd	majmunisanju	
majmunisanje	13	majmunisanja	I jd	majmunisanjem	
mutiranje	13	mutiranja	D/L jd	mutiranju	
mutiranje	13	mutiranja	I jd	mutiranjem	
oponiranje	13	oponiranja	D/L jd	oponiranju	
oponiranje	13	oponiranja	I jd	oponiranjem	
parničenje	13	parničenja	D/L jd	parničenju	
prkošenje	13	prkošenja	D/L jd	prkošenju	
prkošenje	13	prkošenja	I jd	prkošenjem	
prošenje	13	prošenja	D/L jd	prošenju	
realije	13	realija	D/L jd	realiju	
realije	13	realija	I jd	realijem	
rovarenje	13	rovarenja	D/L jd	rovarenju	
stepovanje	13	stepovanja	D/L jd	stepovanju	
stepovanje	13	stepovanja	I jd	stepovanjem	
zastajanje	13	zastajanja	D/L jd	zastajanju	
zastajanje	13	zastajanja	I jd	zastajanjem	
izmenjivanje	12	izmenjivanja	I jd	izmenjivanjem	
marširanje	12	marširanja	D/L jd	marširanju	
marširanje	12	marširanja	I jd	marširanjem	
mozganje	12	mozganja	D/L jd	mozganju	
mozganje	12	mozganja	I jd	mozganjem	
odolevanje	12	odolevanja	D/L jd	odolevanju	
odolevanje	12	odolevanja	I jd	odolevanjem	
odrubljivanje	12	odrubljivanja	D/L jd	odrubljivanju	
odrubljivanje	12	odrubljivanja	I jd	odrubljivanjem	
oglavlje	12	oglavlja	D/L jd	oglavlju	
oglavlje	12	oglavlja	I jd	oglavljem	
okupiranje	12	okupiranja	D/L jd	okupiranju	
okupiranje	12	okupiranja	I jd	okupiranjem	
osvedočenje	12	osvedočenja	I jd	osvedočenjem	
porađanje	12	porađanja	I jd	porađanjem	
rezimiranje	12	rezimiranja	D/L jd	rezimiranju	
rezimiranje	12	rezimiranja	I jd	rezimiranjem	
telašce	12	telašca	D/L jd	telašcu	
telašce	12	telašca	I jd	telašcem	
udovištvo	12	udovištva	I jd	udovištvom	
zaranjanje	12	zaranjanja	D/L jd	zaranjanju	
zaranjanje	12	zaranjanja	I jd	zaranjanjem	
zatočenje	12	zatočenja	D/L jd	zatočenju	
zatočenje	12	zatočenja	I jd	zatočenjem	
belilo	11	belila	D/L jd	belilu	
biralište	11	birališta	I jd	biralištem	
devojaštvo	11	devojaštva	D/L jd	devojaštvu	
devojaštvo	11	devojaštva	I jd	devojaštvom	
dobavljanje	11	dobavljanja	I jd	dobavljanjem	
laviranje	11	laviranja	I jd	laviranjem	
lickanje	11	lickanja	D/L jd	lickanju	
lickanje	11	lickanja	I jd	lickanjem	
lumpovanje	11	lumpovanja	I jd	lumpovanjem	
maraskino	11	maraskina	D/L jd	maraskinu	
maraskino	11	maraskina	I jd	maraskinom	
nalivpero	11	nalivpera	D/L jd	nalivperu	
nalivpero	11	nalivpera	I jd	nalivperom	
nevraćanje	11	nevraćanja	D/L jd	nevraćanju	
nevraćanje	11	nevraćanja	I jd	nevraćanjem	
obećavanje	11	obećavanja	D/L jd	obećavanju	
odmahivanje	11	odmahivanja	D/L jd	odmahivanju	
odmahivanje	11	odmahivanja	I jd	odmahivanjem	
pojilište	11	pojilišta	D/L jd	pojilištu	
pojilište	11	pojilišta	I jd	pojilištem	
povesmo	11	povesma	D/L jd	povesmu	
puknuće	11	puknuća	D/L jd	puknuću	
puknuće	11	puknuća	I jd	puknućem	
razlučivanje	11	razlučivanja	D/L jd	razlučivanju	
razlučivanje	11	razlučivanja	I jd	razlučivanjem	
višeglasje	11	višeglasja	D/L jd	višeglasju	
višeglasje	11	višeglasja	I jd	višeglasjem	
zatajenje	11	zatajenja	D/L jd	zatajenju	
zatajenje	11	zatajenja	I jd	zatajenjem	
bratoljublje	10	bratoljublja	I jd	bratoljubljem	
kovitlanje	10	kovitlanja	D/L jd	kovitlanju	
kovitlanje	10	kovitlanja	I jd	kovitlanjem	
nabiranje	10	nabiranja	D/L jd	nabiranju	
nabiranje	10	nabiranja	I jd	nabiranjem	
napastvovanje	10	napastvovanja	D/L jd	napastvovanju	
napastvovanje	10	napastvovanja	I jd	napastvovanjem	
pobuđivanje	10	pobuđivanja	I jd	pobuđivanjem	
selce	10	selca	D/L jd	selcu	
selce	10	selca	I jd	selcem	
uboštvo	10	uboštva	D/L jd	uboštvu	
umišljanje	10	umišljanja	D/L jd	umišljanju	
umišljanje	10	umišljanja	I jd	umišljanjem	
ustručavanje	10	ustručavanja	D/L jd	ustručavanju	
vucaranje	10	vucaranja	D/L jd	vucaranju	
vucaranje	10	vucaranja	I jd	vucaranjem	
zaletanje	10	zaletanja	D/L jd	zaletanju	
zaletanje	10	zaletanja	I jd	zaletanjem	
zapitkivanje	10	zapitkivanja	D/L jd	zapitkivanju	
zaražavanje	10	zaražavanja	I jd	zaražavanjem	
asociranje	9	asociranja	D/L jd	asociranju	
asociranje	9	asociranja	I jd	asociranjem	
cmakanje	9	cmakanja	D/L jd	cmakanju	
cmakanje	9	cmakanja	I jd	cmakanjem	
cmizdrenje	9	cmizdrenja	D/L jd	cmizdrenju	
crevce	9	crevca	D/L jd	crevcu	
crevce	9	crevca	I jd	crevcem	
dokidanje	9	dokidanja	D/L jd	dokidanju	
dokidanje	9	dokidanja	I jd	dokidanjem	
hučanje	9	hučanja	D/L jd	hučanju	
hučanje	9	hučanja	I jd	hučanjem	
klonuće	9	klonuća	D/L jd	klonuću	
klonuće	9	klonuća	I jd	klonućem	
nemilosrđe	9	nemilosrđa	I jd	nemilosrđem	
odseljavanje	9	odseljavanja	D/L jd	odseljavanju	
odseljavanje	9	odseljavanja	I jd	odseljavanjem	
podušje	9	podušja	I jd	podušjem	
posredstvo	9	posredstva	D/L jd	posredstvu	
počivanje	9	počivanja	D/L jd	počivanju	
rasprskavanje	9	rasprskavanja	D/L jd	rasprskavanju	
rasprskavanje	9	rasprskavanja	I jd	rasprskavanjem	
razvezivanje	9	razvezivanja	D/L jd	razvezivanju	
razvezivanje	9	razvezivanja	I jd	razvezivanjem	
sedalo	9	sedala	I jd	sedalom	
skitanje	9	skitanja	D/L jd	skitanju	
skitanje	9	skitanja	I jd	skitanjem	
snebivanje	9	snebivanja	D/L jd	snebivanju	
tutkalo	9	tutkala	D/L jd	tutkalu	
uzletište	9	uzletišta	I jd	uzletištem	
vrdanje	9	vrdanja	D/L jd	vrdanju	
vrdanje	9	vrdanja	I jd	vrdanjem	
vrludanje	9	vrludanja	D/L jd	vrludanju	
vrludanje	9	vrludanja	I jd	vrludanjem	
šaptanje	9	šaptanja	D/L jd	šaptanju	
šaptanje	9	šaptanja	I jd	šaptanjem	
desetleće	8	desetleća	D/L jd	desetleću	
desetleće	8	desetleća	I jd	desetlećem	
dezertiranje	8	dezertiranja	D/L jd	dezertiranju	
dezertiranje	8	dezertiranja	I jd	dezertiranjem	
haranje	8	haranja	I jd	haranjem	
izleganje	8	izleganja	D/L jd	izleganju	
izleganje	8	izleganja	I jd	izleganjem	
okivanje	8	okivanja	I jd	okivanjem	
oplođivanje	8	oplođivanja	D/L jd	oplođivanju	
oplođivanje	8	oplođivanja	I jd	oplođivanjem	
očitanje	8	očitanja	D/L jd	očitanju	
očitanje	8	očitanja	I jd	očitanjem	
pabirčenje	8	pabirčenja	D/L jd	pabirčenju	
pabirčenje	8	pabirčenja	I jd	pabirčenjem	
podbadanje	8	podbadanja	I jd	podbadanjem	
povođenje	8	povođenja	D/L jd	povođenju	
povođenje	8	povođenja	I jd	povođenjem	
predomišljanje	8	predomišljanja	D/L jd	predomišljanju	
predomišljanje	8	predomišljanja	I jd	predomišljanjem	
rilo	8	rila	I jd	rilom	
udovoljenje	8	udovoljenja	D/L jd	udovoljenju	
udovoljenje	8	udovoljenja	I jd	udovoljenjem	
uposlenje	8	uposlenja	D/L jd	uposlenju	
uposlenje	8	uposlenja	I jd	uposlenjem	
uzbuđivanje	8	uzbuđivanja	D/L jd	uzbuđivanju	
uzbuđivanje	8	uzbuđivanja	I jd	uzbuđivanjem	
vatrište	8	vatrišta	I jd	vatrištem	
zalečenje	8	zalečenja	D/L jd	zalečenju	
zalečenje	8	zalečenja	I jd	zalečenjem	
žalovanje	8	žalovanja	D/L jd	žalovanju	
bljuvanje	7	bljuvanja	D/L jd	bljuvanju	
bljuvanje	7	bljuvanja	I jd	bljuvanjem	
dangubljenje	7	dangubljenja	D/L jd	dangubljenju	
dangubljenje	7	dangubljenja	I jd	dangubljenjem	
gakanje	7	gakanja	D/L jd	gakanju	
grcanje	7	grcanja	D/L jd	grcanju	
grcanje	7	grcanja	I jd	grcanjem	
grizenje	7	grizenja	D/L jd	grizenju	
kolence	7	kolenca	D/L jd	kolencu	
kolence	7	kolenca	I jd	kolencem	
kondenzovanje	7	kondenzovanja	D/L jd	kondenzovanju	
kondenzovanje	7	kondenzovanja	I jd	kondenzovanjem	
ljubakanje	7	ljubakanja	D/L jd	ljubakanju	
ljubakanje	7	ljubakanja	I jd	ljubakanjem	
motrenje	7	motrenja	I jd	motrenjem	
močilo	7	močila	I jd	močilom	
nadvikivanje	7	nadvikivanja	I jd	nadvikivanjem	
okresivanje	7	okresivanja	D/L jd	okresivanju	
okresivanje	7	okresivanja	I jd	okresivanjem	
pasiranje	7	pasiranja	D/L jd	pasiranju	
pasiranje	7	pasiranja	I jd	pasiranjem	
pirovanje	7	pirovanja	I jd	pirovanjem	
počinjenje	7	počinjenja	D/L jd	počinjenju	
počinjenje	7	počinjenja	I jd	počinjenjem	
premetanje	7	premetanja	D/L jd	premetanju	
premetanje	7	premetanja	I jd	premetanjem	
prestizanje	7	prestizanja	D/L jd	prestizanju	
prestizanje	7	prestizanja	I jd	prestizanjem	
pripojenje	7	pripojenja	D/L jd	pripojenju	
pripojenje	7	pripojenja	I jd	pripojenjem	
prisoje	7	prisoja	I jd	prisojem	
prolijevanje	7	prolijevanja	D/L jd	prolijevanju	
prolijevanje	7	prolijevanja	I jd	prolijevanjem	
slagalište	7	slagališta	D/L jd	slagalištu	
slagalište	7	slagališta	I jd	slagalištem	
tremolo	7	tremola	D/L jd	tremolu	
tremolo	7	tremola	I jd	tremolom	
ugošćavanje	7	ugošćavanja	I jd	ugošćavanjem	
uzlaženje	7	uzlaženja	I jd	uzlaženjem	
zatajivanje	7	zatajivanja	D/L jd	zatajivanju	
zatajivanje	7	zatajivanja	I jd	zatajivanjem	
zavađanje	7	zavađanja	D/L jd	zavađanju	
zavađanje	7	zavađanja	I jd	zavađanjem	
zveketanje	7	zveketanja	D/L jd	zveketanju	
zveketanje	7	zveketanja	I jd	zveketanjem	
bacakanje	6	bacakanja	D/L jd	bacakanju	
bacakanje	6	bacakanja	I jd	bacakanjem	
bunjište	6	bunjišta	D/L jd	bunjištu	
bunjište	6	bunjišta	I jd	bunjištem	
kuđenje	6	kuđenja	D/L jd	kuđenju	
kuđenje	6	kuđenja	I jd	kuđenjem	
mikado	6	mikada	D/L jd	mikadu	
mikado	6	mikada	I jd	mikadom	
napasanje	6	napasanja	I jd	napasanjem	
napominjanje	6	napominjanja	I jd	napominjanjem	
okolišanje	6	okolišanja	D/L jd	okolišanju	
osujećivanje	6	osujećivanja	I jd	osujećivanjem	
osvećivanje	6	osvećivanja	D/L jd	osvećivanju	
osvećivanje	6	osvećivanja	I jd	osvećivanjem	
ozračenje	6	ozračenja	D/L jd	ozračenju	
ozračenje	6	ozračenja	I jd	ozračenjem	
oštroumlje	6	oštroumlja	D/L jd	oštroumlju	
razdiranje	6	razdiranja	I jd	razdiranjem	
razgledavanje	6	razgledavanja	I jd	razgledavanjem	
rezbarstvo	6	rezbarstva	D/L jd	rezbarstvu	
rezbarstvo	6	rezbarstva	I jd	rezbarstvom	
roktanje	6	roktanja	I jd	roktanjem	
stegno	6	stegna	I jd	stegnom	
streljivo	6	streljiva	D/L jd	streljivu	
sumnjanje	6	sumnjanja	I jd	sumnjanjem	
udivljenje	6	udivljenja	D/L jd	udivljenju	
uspevanje	6	uspevanja	D/L jd	uspevanju	
uspevanje	6	uspevanja	I jd	uspevanjem	
zapinjanje	6	zapinjanja	D/L jd	zapinjanju	
zborovanje	6	zborovanja	D/L jd	zborovanju	
zborovanje	6	zborovanja	I jd	zborovanjem	
škembe	6	škembeta	D/L jd	škembetu	proširena osnova
škembe	6	škembeta	I jd	škembetom	proširena osnova
gnezdašce	5	gnezdašca	D/L jd	gnezdašcu	
gnezdašce	5	gnezdašca	I jd	gnezdašcem	
hukanje	5	hukanja	D/L jd	hukanju	
hukanje	5	hukanja	I jd	hukanjem	
jenjavanje	5	jenjavanja	D/L jd	jenjavanju	
jenjavanje	5	jenjavanja	I jd	jenjavanjem	
krivudanje	5	krivudanja	D/L jd	krivudanju	
krivudanje	5	krivudanja	I jd	krivudanjem	
navršenje	5	navršenja	D/L jd	navršenju	
navršenje	5	navršenja	I jd	navršenjem	
pivarstvo	5	pivarstva	D/L jd	pivarstvu	
pivarstvo	5	pivarstva	I jd	pivarstvom	
rebarce	5	rebarca	D/L jd	rebarcu	
rebarce	5	rebarca	I jd	rebarcem	
sirište	5	sirišta	D/L jd	sirištu	
sirište	5	sirišta	I jd	sirištem	
stočarenje	5	stočarenja	I jd	stočarenjem	
tesanje	5	tesanja	I jd	tesanjem	
topništvo	5	topništva	D/L jd	topništvu	
topništvo	5	topništva	I jd	topništvom	
tovljenje	5	tovljenja	D/L jd	tovljenju	
tovljenje	5	tovljenja	I jd	tovljenjem	
upletanje	5	upletanja	D/L jd	upletanju	
upletanje	5	upletanja	I jd	upletanjem	
čegrtanje	5	čegrtanja	D/L jd	čegrtanju	
čegrtanje	5	čegrtanja	I jd	čegrtanjem	
anektiranje	4	anektiranja	I jd	anektiranjem	
barbarstvo	4	barbarstva	D/L jd	barbarstvu	
barbarstvo	4	barbarstva	I jd	barbarstvom	
bratimstvo	4	bratimstva	D/L jd	bratimstvu	
bratimstvo	4	bratimstva	I jd	bratimstvom	
garniranje	4	garniranja	I jd	garniranjem	
inozemstvo	4	inozemstva	I jd	inozemstvom	
maturiranje	4	maturiranja	D/L jd	maturiranju	
maturiranje	4	maturiranja	I jd	maturiranjem	
pojilo	4	pojila	I jd	pojilom	
zafrkavanje	4	zafrkavanja	D/L jd	zafrkavanju	
zafrkavanje	4	zafrkavanja	I jd	zafrkavanjem	
šivanje	4	šivanja	D/L jd	šivanju	
šivanje	4	šivanja	I jd	šivanjem	
afektiranje	3	afektiranja	D/L jd	afektiranju	
afektiranje	3	afektiranja	I jd	afektiranjem	
cuganje	3	cuganja	D/L jd	cuganju	
cuganje	3	cuganja	I jd	cuganjem	
govorkanje	3	govorkanja	D/L jd	govorkanju	
govorkanje	3	govorkanja	I jd	govorkanjem	
grešenje	3	grešenja	D/L jd	grešenju	
grizodušje	3	grizodušja	D/L jd	grizodušju	
gušče	3	guščeta	D/L jd	guščetu	proširena osnova
gušče	3	guščeta	I jd	guščetom	proširena osnova
kimono	3	kimona	I jd	kimonom	
naukovanje	3	naukovanja	D/L jd	naukovanju	
naukovanje	3	naukovanja	I jd	naukovanjem	
nehtenje	3	nehtenja	D/L jd	nehtenju	
nehtenje	3	nehtenja	I jd	nehtenjem	
noćište	3	noćišta	I jd	noćištem	
nutkanje	3	nutkanja	D/L jd	nutkanju	
nutkanje	3	nutkanja	I jd	nutkanjem	
okance	3	okanca	D/L jd	okancu	
okance	3	okanca	I jd	okancem	
otrovanje	3	otrovanja	D/L jd	otrovanju	
